File,Identifer,Geographic Subject,Genre,Materiality,Type Evidence,Provenance
Illuminated_Mauscript_Recto,IM001R,"Commerce, History, England, Iran, Persia, 17th century","Petitions, Royal Petitions","Gold, Ink, Pigment, Vellum","Boldface types, Borders, Headings, Illustrated works, Ornaments, Ornate types","Dates, Signatures (Names)"
Illuminated_Mauscript_Verso,IM002V,"Commerce, History, England, Iran, Persia, 17th century","Petitions, Royal Petitions","Gold, Ink, Vellum","Boldface types, Headings",Signatures (Names)
